gid,stad,temp,humd,wspd,wdir,cond,surf,h,date2,date_id
1,Georgia Dome,79.0,,,,Dome,AstroTurf,ATL,2000-09-03,2000-09-03ATL
2,Cleveland Browns Stadium,78.0,63.0,9.0,NE,Sunny,Grass,CLE,2000-09-03,2000-09-03CLE
3,Texas Stadium,109.0,19.0,5.0,S,Sunny,AstroTurf,DAL,2000-09-03,2000-09-03DAL
4,Lambeau Field,77.0,66.0,5.0,E,Mostly Cloudy,Grass,GB,2000-09-03,2000-09-03GB
5,Arrowhead Stadium,90.0,50.0,8.0,E,Mostly Sunny,Grass,KC,2000-09-03,2000-09-03KC
6,Pro Player Stadium,89.0,59.0,13.0,E,Sunny,Grass,MIA,2000-09-03,2000-09-03MIA
7,Metrodome,65.0,,,,Dome,AstroTurf,MIN,2000-09-03,2000-09-03MIN
8,Foxboro Stadium,71.0,93.0,5.0,VAR,Cloudy,Grass,NE,2000-09-03,2000-09-03NE
9,Louisiana Superdome,89.0,,,,Dome,AstroTurf,NO,2000-09-03,2000-09-03NO
10,Giants Stadium,80.0,79.0,3.0,VAR,Partly Cloudy,Grass,NYG,2000-09-03,2000-09-03NYG
11,Network Associates Coliseum,64.0,49.0,10.0,W,Partly Cloudy,Grass,OAK,2000-09-03,2000-09-03OAK
12,Three Rivers Stadium,74.0,84.0,8.0,NW,Partly Sunny,AstroTurf,PIT,2000-09-03,2000-09-03PIT
13,FedEx Field,80.0,98.0,,CALM,Mostly Cloudy,Grass,WAS,2000-09-03,2000-09-03WAS
14,Ralph Wilson Stadium,73.0,78.0,10.0,S,Mostly Cloudy,AstroTurf,BUF,2000-09-03,2000-09-03BUF
15,Trans World Dome,,,,,Dome,AstroTurf,STL,2000-09-04,2000-09-04STL
16,PSINet Stadium,82.0,72.0,5.0,SE,Mostly Sunny,Grass,BAL,2000-09-10,2000-09-10BAL
17,Ralph Wilson Stadium,81.0,62.0,8.0,WSW,Clear,AstroTurf,BUF,2000-09-10,2000-09-10BUF
18,Paul Brown Stadium,74.0,93.0,5.0,S,Chance Rain,Grass,CIN,2000-09-10,2000-09-10CIN
19,Mile High Stadium,84.0,15.0,10.0,S,Sunny,Grass,DEN,2000-09-10,2000-09-10DEN
20,Pontiac Silverdome,73.0,,,,Dome,AstroTurf,DET,2000-09-10,2000-09-10DET
21,RCA Dome,72.0,,,,Dome,AstroTurf,IND,2000-09-10,2000-09-10IND
22,Metrodome,65.0,,,,Dome,AstroTurf,MIN,2000-09-10,2000-09-10MIN
23,Veterans Stadium,77.0,74.0,6.0,SE,Fair,AstroTurf,PHI,2000-09-10,2000-09-10PHI
24,Qualcomm Stadium,76.0,41.0,8.0,WSW,Sunny,Grass,SD,2000-09-10,2000-09-10SD
25,3COM Park,63.0,76.0,6.0,NE,Sunny,Grass,SF,2000-09-10,2000-09-10SF
26,Husky Stadium,55.0,100.0,3.0,W,Cloudy,FieldTurf,SEA,2000-09-10,2000-09-10SEA
27,Raymond James Stadium,89.0,70.0,10.0,E,Chance Rain,Grass,TB,2000-09-10,2000-09-10TB
28,Adelphia Coliseum,80.0,84.0,13.0,N,Cloudy,Grass,TEN,2000-09-10,2000-09-10TEN
29,Sun Devil Stadium,100.0,26.0,7.0,VAR,,Grass,ARI,2000-09-10,2000-09-10ARI
30,The Meadowlands,72.0,76.0,5.0,S,Fair,Grass,NYJ,2000-09-11,2000-09-11NYJ
31,Ericsson Stadium,63.0,60.0,3.0,N,Partly Cloudy,Grass,CAR,2000-09-17,2000-09-17CAR
32,Soldier Field,79.0,40.0,8.0,W,Sunny,Grass,CHI,2000-09-17,2000-09-17CHI
33,Cleveland Browns Stadium,67.0,50.0,17.0,SW,Sunny,Grass,CLE,2000-09-17,2000-09-17CLE
34,Pontiac Silverdome,70.0,,,,Dome,AstroTurf,DET,2000-09-17,2000-09-17DET
35,Lambeau Field,67.0,60.0,9.0,N,Sunny,Grass,GB,2000-09-17,2000-09-17GB
36,Alltel Stadium,71.0,,5.0,NE,Chance Rain,Grass,JAC,2000-09-17,2000-09-17JAC
37,Arrowhead Stadium,88.0,26.0,0.0,CALM,Clear,AstroTurf,KC,2000-09-17,2000-09-17KC
38,Foxboro Stadium,70.0,,15.0,W,Partly Cloudy,Grass,NE,2000-09-17,2000-09-17NE
39,Giants Stadium,68.0,74.0,12.0,SW,,Grass,NYJ,2000-09-17,2000-09-17NYJ
40,Network Associates Coliseum,79.0,55.0,9.0,NW,Sunny,Grass,OAK,2000-09-17,2000-09-17OAK
41,Husky Stadium,68.0,80.0,3.0,VAR,Sunny,FieldTurf,SEA,2000-09-17,2000-09-17SEA
42,Trans World Dome,,,,,Dome,AstroTurf,STL,2000-09-17,2000-09-17STL
43,Pro Player Stadium,80.0,81.0,10.0,W,Cloudy,Grass,MIA,2000-09-17,2000-09-17MIA
44,FedEx Field,66.0,65.0,8.0,S,,Grass,WAS,2000-09-18,2000-09-18WAS
45,Sun Devil Stadium,87.0,16.0,6.0,VAR,,Grass,ARI,2000-09-24,2000-09-24ARI
46,Georgia Dome,81.0,,,,Dome,AstroTurf,ATL,2000-09-24,2000-09-24ATL
47,PSINet Stadium,70.0,87.0,8.0,SW,Cloudy,Grass,BAL,2000-09-24,2000-09-24BAL
48,Soldier Field,58.0,86.0,12.0,N,Chance Rain,Grass,CHI,2000-09-24,2000-09-24CHI
49,Texas Stadium,64.0,93.0,23.0,N,Cloudy,AstroTurf,DAL,2000-09-24,2000-09-24DAL
50,Mile High Stadium,36.0,81.0,8.0,W,Mostly Cloudy,Grass,DEN,2000-09-24,2000-09-24DEN
51,Pro Player Stadium,88.0,63.0,12.0,E,,Grass,MIA,2000-09-24,2000-09-24MIA
52,Louisiana Superdome,92.0,,,,Dome,AstroTurf,NO,2000-09-24,2000-09-24NO
53,Network Associates Coliseum,76.0,35.0,5.0,SW,Clear,Grass,OAK,2000-09-24,2000-09-24OAK
54,Three Rivers Stadium,61.0,,16.0,NW,Chance Rain,AstroTurf,PIT,2000-09-24,2000-09-24PIT
55,Qualcomm Stadium,72.0,52.0,9.0,WSW,Sunny,Grass,SD,2000-09-24,2000-09-24SD
56,Raymond James Stadium,82.0,89.0,9.0,SW,Rain,Grass,TB,2000-09-24,2000-09-24TB
57,Giants Stadium,64.0,75.0,9.0,NW,Partly Cloudy,Grass,NYG,2000-09-24,2000-09-24NYG
58,RCA Dome,72.0,,,,Dome,AstroTurf,IND,2000-09-25,2000-09-25IND
59,Ralph Wilson Stadium,70.0,52.0,10.0,SW,Sunny,AstroTurf,BUF,2000-10-01,2000-10-01BUF
60,Ericsson Stadium,71.0,58.0,14.0,NE,Partly Cloudy,Grass,CAR,2000-10-01,2000-10-01CAR
61,Paul Brown Stadium,76.0,78.0,6.0,SW,Partly Cloudy,Grass,CIN,2000-10-01,2000-10-01CIN
62,Cleveland Browns Stadium,70.0,59.0,12.0,S,Sunny,Grass,CLE,2000-10-01,2000-10-01CLE
63,Mile High Stadium,80.0,18.0,6.0,SE,Sunny,Grass,DEN,2000-10-01,2000-10-01DEN
64,Pontiac Silverdome,73.0,,,,Dome,AstroTurf,DET,2000-10-01,2000-10-01DET
65,Lambeau Field,72.0,56.0,12.0,SW,Partly Sunny,Grass,GB,2000-10-01,2000-10-01GB
66,Alltel Stadium,76.0,,14.0,NE,Chance Rain,Grass,JAC,2000-10-01,2000-10-01JAC
67,3COM Park,72.0,58.0,10.0,WNW,Sunny,Grass,SF,2000-10-01,2000-10-01SF
68,Trans World Dome,,,,,Dome,AstroTurf,STL,2000-10-01,2000-10-01STL
69,Adelphia Coliseum,72.0,84.0,5.0,SE,Cloudy,Grass,TEN,2000-10-01,2000-10-01TEN
70,FedEx Field,68.0,87.0,6.0,NE,Partly Sunny,Grass,WAS,2000-10-01,2000-10-01WAS
71,Veterans Stadium,68.0,59.0,8.0,W,Mostly Cloudy,AstroTurf,PHI,2000-10-01,2000-10-01PHI
72,Arrowhead Stadium,74.0,53.0,8.0,N,Clear,Grass,KC,2000-10-02,2000-10-02KC
73,Sun Devil Stadium,87.0,25.0,15.0,SE,,Grass,ARI,2000-10-08,2000-10-08ARI
74,Georgia Dome,54.0,,,,Dome,AstroTurf,ATL,2000-10-08,2000-10-08ATL
75,Ericsson Stadium,50.0,39.0,8.0,N,Cloudy,Grass,CAR,2000-10-08,2000-10-08CAR
76,Soldier Field,47.0,45.0,16.0,NW,Partly Sunny,Grass,CHI,2000-10-08,2000-10-08CHI
77,Paul Brown Stadium,44.0,83.0,10.0,NW,Cloudy,Grass,CIN,2000-10-08,2000-10-08CIN
78,Pontiac Silverdome,62.0,,,,Dome,AstroTurf,DET,2000-10-08,2000-10-08DET
79,Pro Player Stadium,85.0,67.0,8.0,NE,Partly Sunny,Grass,MIA,2000-10-08,2000-10-08MIA
80,Foxboro Stadium,55.0,,20.0,NW,Partly Cloudy,Grass,NE,2000-10-08,2000-10-08NE
81,The Meadowlands,54.0,72.0,10.0,WNW,Sunny,Grass,NYJ,2000-10-08,2000-10-08NYJ
82,Veterans Stadium,49.0,56.0,15.0,W,Partly Sunny,AstroTurf,PHI,2000-10-08,2000-10-08PHI
83,Qualcomm Stadium,68.0,82.0,7.0,WSW,Sunny,Grass,SD,2000-10-08,2000-10-08SD
84,3COM Park,66.0,60.0,10.0,VAR,Sunny,Grass,SF,2000-10-08,2000-10-08SF
85,Alltel Stadium,62.0,,11.0,NE,Chance Rain,Grass,JAC,2000-10-08,2000-10-08JAC
86,Metrodome,64.0,,,,Dome,AstroTurf,MIN,2000-10-09,2000-10-09MIN
87,Sun Devil Stadium,80.0,24.0,3.0,VAR,Clear,Grass,ARI,2000-10-15,2000-10-15ARI
88,Ralph Wilson Stadium,63.0,78.0,7.0,WSW,Mostly Cloudy,AstroTurf,BUF,2000-10-15,2000-10-15BUF
89,Mile High Stadium,59.0,32.0,7.0,NE,Sunny,Grass,DEN,2000-10-15,2000-10-15DEN
90,Lambeau Field,54.0,74.0,4.0,NE,Chance Rain,Grass,GB,2000-10-15,2000-10-15GB
91,Arrowhead Stadium,62.0,96.0,8.0,NE,Cloudy,Grass,KC,2000-10-15,2000-10-15KC
92,Foxboro Stadium,76.0,,10.0,SW,Cloudy,Grass,NE,2000-10-15,2000-10-15NE
93,Louisiana Superdome,74.0,,,,Dome,Grass,NO,2000-10-15,2000-10-15NO
94,Giants Stadium,75.0,60.0,7.0,N,Partly Sunny,Grass,NYG,2000-10-15,2000-10-15NYG
95,Three Rivers Stadium,61.0,,,,Cloudy,AstroTurf,PIT,2000-10-15,2000-10-15PIT
96,Husky Stadium,45.0,70.0,10.0,S,Cloudy,FieldTurf,SEA,2000-10-15,2000-10-15SEA
97,Trans World Dome,,,,,Dome,AstroTurf,STL,2000-10-15,2000-10-15STL
98,FedEx Field,75.0,70.0,0.0,CALM,,Grass,WAS,2000-10-15,2000-10-15WAS
99,Soldier Field,56.0,80.0,7.0,NE,Rain,Grass,CHI,2000-10-15,2000-10-15CHI
100,Adelphia Coliseum,74.0,52.0,6.0,NE,Cloudy,Grass,TEN,2000-10-16,2000-10-16TEN
