play_id,game_id,date_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,stad,temp,humd,wspd,wdir,cond,surf
3611,2009091304,2009-09-13CLE,CLE,MIN,CLE,home,MIN,CLE,64.0,2009-09-13,292.0,292.0,292.0,Half2,0,22,0,4,4.0,0.0,04:52,CLE 36,10,17,"(4:52) (No Huddle, Shotgun) B.Quinn pass incomplete short middle to R.Royal (C.Greenway).",pass,0.0,1,1,1.0,0,short,middle,13.0,,,,3,3,0.0,,,3.0,3.0,12,34,12.0,34.0,-22.0,12.0,34.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cleveland Browns Stadium,70.0,,9.0,NW,Sunny,Grass
1037,2009091307,2009-09-13NO,NO,DET,DET,away,NO,NO,4.0,2009-09-13,851.0,851.0,2651.0,Half1,0,8,1,2,4.0,0.0,14:11,NO 4,1,13,"(14:11) Kv.Smith left end for 4 yards, TOUCHDOWN.",run,4.0,0,0,0.0,0,,,,,left,end,3,2,0.0,,DET,2.0,3.0,14,9,3.0,14.0,-11.0,9.0,14.0,-5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Louisiana Superdome,81.0,,,,Dome,MomentumTurf
3909,2009091307,2009-09-13NO,NO,DET,DET,away,NO,DET,64.0,2009-09-13,378.0,378.0,378.0,Half2,0,25,0,4,4.0,0.0,06:18,DET 36,1,33,(6:18) (Pass formation) M.Stafford pass short right to B.Johnson pushed ob at 50 for 14 yards (T.Porter).,pass,14.0,0,0,1.0,0,short,right,14.0,0.0,,,2,2,0.0,,,2.0,2.0,45,26,26.0,45.0,-19.0,26.0,45.0,-19.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Louisiana Superdome,81.0,,,,Dome,MomentumTurf
3307,2009091308,2009-09-13TB,TB,DAL,TB,home,DAL,DAL,26.0,2009-09-13,464.0,464.0,464.0,Half2,0,19,0,4,4.0,0.0,07:44,DAL 26,7,43,(7:44) (Shotgun) B.Leftwich pass incomplete short middle to K.Winslow [B.Carpenter].,pass,0.0,1,0,1.0,0,short,middle,6.0,,,,3,3,0.0,,,3.0,3.0,14,27,14.0,27.0,-13.0,14.0,27.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Raymond James Stadium,85.0,82.0,6.0,SW,Cloudy,Grass
3774,2009091308,2009-09-13TB,TB,DAL,TB,home,DAL,DAL,2.0,2009-09-13,91.0,91.0,91.0,Half2,0,21,1,4,4.0,1.0,01:31,DAL 2,2,72,"(1:31) B.Leftwich pass short right to K.Winslow for 2 yards, TOUCHDOWN.",pass,2.0,0,0,1.0,0,short,right,2.0,0.0,,,3,3,0.0,,TB,3.0,3.0,20,34,14.0,34.0,-20.0,20.0,34.0,-14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Raymond James Stadium,85.0,82.0,6.0,SW,Cloudy,Grass
1918,2009091305,2009-09-13HOU,HOU,NYJ,NYJ,away,HOU,HOU,43.0,2009-09-13,2.0,2.0,1802.0,Half1,0,10,0,2,4.0,0.0,00:02,HOU 43,2,33,"(:02) (Shotgun) M.Sanchez pass deep left to D.Keller to HOU 18 for 25 yards (D.Ryans). Penalty on HOU-D.Ryans, Taunting, declined.",pass,25.0,1,0,1.0,0,deep,left,23.0,2.0,,,3,0,0.0,,,0.0,3.0,0,10,10.0,0.0,10.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Reliant Stadium,,,,,Closed Roof,Grass
2639,2009091305,2009-09-13HOU,HOU,NYJ,HOU,home,NYJ,HOU,51.0,2009-09-13,217.0,1117.0,1117.0,Half2,0,14,0,3,4.0,0.0,03:37,HOU 49,2,35,(3:37) M.Schaub pass incomplete short middle to O.Daniels (E.Smith).,pass,0.0,0,0,1.0,0,short,middle,7.0,,,,3,3,0.0,,,3.0,3.0,0,17,0.0,17.0,-17.0,0.0,17.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Reliant Stadium,,,,,Closed Roof,Grass
3713,2009091305,2009-09-13HOU,HOU,NYJ,NYJ,away,HOU,HOU,29.0,2009-09-13,120.0,120.0,120.0,Half2,0,20,0,4,4.0,0.0,02:00,HOU 29,1,61,(2:00) T.Richardson up the middle to HOU 27 for 2 yards (B.McCain). HOU-S.Cody was injured during the play.,run,2.0,0,0,0.0,0,,,,,middle,,2,3,0.0,,,3.0,2.0,6,24,24.0,6.0,18.0,24.0,6.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Reliant Stadium,,,,,Closed Roof,Grass
1772,2009091306,2009-09-13IND,IND,JAC,IND,home,JAC,IND,54.0,2009-09-13,8.0,8.0,1808.0,Half1,0,7,0,2,4.0,0.0,00:08,IND 46,1,9,(:08) (Shotgun) P.Manning pass incomplete deep left to D.Clark.,pass,0.0,1,0,1.0,0,deep,left,29.0,,,,1,1,0.0,,,1.0,1.0,7,6,7.0,6.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Lucas Oil Stadium,74.0,46.0,8.0,ENE,Sunny,FieldTurf
2979,2009091306,2009-09-13IND,IND,JAC,JAC,away,IND,IND,7.0,2009-09-13,672.0,672.0,672.0,Half2,0,15,1,4,4.0,0.0,11:12,IND 7,2,58,"(11:12) (Shotgun) M.Jones-Drew left end for 7 yards, TOUCHDOWN.",run,7.0,1,0,0.0,0,,,,,left,end,2,2,0.0,,JAC,2.0,2.0,14,12,6.0,14.0,-8.0,12.0,14.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Lucas Oil Stadium,74.0,46.0,8.0,ENE,Sunny,FieldTurf
